tweet_id,favorite_count,retweet_count
892420643555336193,38950,8633
892177421306343426,33348,6341
891815181378084864,25122,4208
891689557279858688,42291,8756
891327558926688256,40455,9512
891087950875897856,20292,3149
890971913173991426,11900,2100
890729181411237888,65802,19141
890609185150312448,27870,4317
890240255349198849,32054,7514
890006608113172480,30762,7431
889880896479866881,27883,5027
889665388333682689,48265,10183
889638837579907072,27271,4596
889531135344209921,15140,2262
889278841981685760,25396,5497
888917238123831296,29189,4561
888804989199671297,25689,4396
888554962724278272,20001,3626
888078434458587136,21848,3540
887705289381826560,30304,5462
887517139158093824,46406,11806
887473957103951883,69382,18449
887343217045368832,33814,10528
887101392804085760,30660,6035
886983233522544640,35289,7859
886736880519319552,12121,3338
886680336477933568,22514,4526
886366144734445568,21196,3223
886267009285017600,116,4
886258384151887873,28064,6374
886054160059072513,0,105
885984800019947520,32838,6893
885528943205470208,36139,6520
885518971528720385,20499,3808
885311592912609280,0,18794
885167619883638784,22024,4436
884925521741709313,77852,18682
884876753390489601,28038,5868
884562892145688576,24394,4937
884441805382717440,27097,5724
884247878851493888,73292,20680
884162670584377345,20464,3031
883838122936631299,21989,3493
883482846933004288,46123,10095
883360690899218434,22639,3733
883117836046086144,37371,6760
882992080364220416,24041,3981
882762694511734784,28426,4991
882627270321602560,27974,6173
882268110199369728,45137,11766
882045870035918850,29486,5052
881906580714921986,24386,3437
881666595344535552,50749,10822
881633300179243008,127,7
881536004380872706,49650,16191
881268444196462592,23150,5215
880935762899988482,17075,2815
880872448815771648,21381,3870
880465832366813184,28644,6373
880221127280381952,27185,4291
880095782870896641,27737,4420
879862464715927552,22388,3550
879674319642796034,312,10
879492040517615616,23502,3233
879415818425184262,106315,44804
879376492567855104,16841,3160
879130579576475649,0,6951
879050749262655488,22690,4783
879008229531029506,19043,2733
878776093423087618,19454,4187
878604707211726852,30405,7355
878404777348136964,0,1312
878316110768087041,0,6765
878281511006478336,7790,1312
878057613040115712,42234,6951
877736472329191424,80355,19482
877611172832227328,0,81
877556246731214848,22872,3891
877316821321428993,27478,5266
877201837425926144,27268,5693
876838120628539392,20777,3417
876537666061221889,23549,4688
876484053909872640,18857,2446
876120275196170240,28061,4775
875747767867523072,25320,4370
875144289856114688,22030,5013
875097192612077568,27558,6156
875021211251597312,25621,4798
874680097055178752,28018,4727
874434818259525634,0,15077
874296783580663808,26215,4194
874057562936811520,22785,4030
874012996292530176,34909,10684
873580283840344065,24410,4031
873337748698140672,0,1622
873213775632977920,7321,1622
872967104147763200,27577,5516
872820683541237760,14826,3779
872668790621863937,0,29
872620804844003328,20958,3793
872486979161796608,41017,9213
872261713294495745,34526,6479
872122724285648897,34757,8321
871879754684805121,38419,11516
871762521631449091,20457,3567
871515927908634625,20414,3541
871166179821445120,0,5827
871102520638267392,21137,5625
871032628920680449,22899,3899
870804317367881728,34024,6394
870726314365509632,120,3
870656317836468226,12591,2728
870374049280663552,83670,26991
870308999962521604,22095,4272
870063196459192321,37142,8606
869772420881756160,42976,10359
869702957897576449,28632,6527
869596645499047938,16216,3235
869227993411051520,20747,3918
868880397819494401,66650,14994
868639477480148993,0,2170
868622495443632128,27821,5965
868552278524837888,10346,2170
867900495410671616,24583,4325
867774946302451713,34570,7588
867421006826221569,16463,2613
867072653475098625,0,131
867051520902168576,32842,8179
866720684873056260,20508,5019
866686824827068416,19739,3626
866450705531457537,124668,36652
866334964761202691,53726,15077
866094527597207552,0,8704
865718153858494464,26173,5837
865359393868664832,27076,5223
865006731092295680,28627,8009
864873206498414592,33069,9121
864279568663928832,14950,3186
864197398364647424,30909,9370
863907417377173506,21122,4332
863553081350529029,15656,4360
863471782782697472,0,2596
863432100342583297,24385,5526
863427515083354112,2317,101
863079547188785154,8974,1155
863062471531167744,8774,2596
862831371563274240,19677,5318
862722525377298433,17514,3706
862457590147678208,21105,5216
862096992088072192,76706,24450
861383897657036800,37086,11236
861288531465048066,17687,4379
861005113778896900,17206,4002
860981674716409858,0,2268
860924035999428608,0,857
860563773140209665,7724,2268
860524505164394496,24304,5550
860276583193509888,18846,3655
860184849394610176,17188,6152
860177593139703809,0,32515
859924526012018688,20128,4310
859851578198683649,15852,3689
859607811541651456,19153,1659
859196978902773760,92866,31932
859074603037188101,34974,14375
858860390427611136,0,8578
858843525470990336,16043,3669
858471635011153920,22222,5118
858107933456039936,16247,3082
857989990357356544,16666,2733
857746408056729600,35420,11233
857393404942143489,6122,1726
857263160327368704,20687,4800
857214891891077121,238,20
857062103051644929,0,179
857029823797047296,19590,4254
856602993587888130,0,11332
856543823941562368,16877,3062
856526610513747968,12256,2004
856330835276025856,0,720
856288084350160898,535,17
856282028240666624,28657,6711
855862651834028034,363,28
855860136149123072,5111,1104
855857698524602368,12273,2253
855851453814013952,47126,18801
855818117272018944,27607,5804
855459453768019968,31141,8789
855245323840757760,0,6370
855138241867124737,0,49
854732716440526848,23776,6524
854482394044301312,30582,7371
854365224396361728,19701,5028
854120357044912130,33316,8035
854010172552949760,16887,3362
